treat,econ_hard,depress1,sex,age,occp,marital,nonwhite,educ,income,job_seek,depress2,work1,comply,control,job_dich,job_disc,depress,education,educationA,educationB
1,3.32999992370605,1.82000005245209,0,50.687671661377,manegerial,married,white0,bach,50k+,3.83333325386047,2,psyemp,1,treat,0,3,0.179999947547913,C,B,B
1,5,1.17999994754791,1,46.9260292053223,clerical/kindred,divrcd,non.white1,somcol,lt15k,5,1.18181812763214,psyump,1,treat,1,4,0.00181818008422852,B,B,A
1,3,1.36000001430511,0,43.312328338623,craftsmen/foremen/kindred,nevmarr,white0,somcol,lt15k,3.16666674613953,1.90909087657928,psyump,1,treat,0,2,0.54909086227417,B,B,A
1,2,2.70000004768372,1,47.0739707946777,manegerial,widowed,white0,gradwk,40t49k,3.16666674613953,1.81818187236786,psyump,1,treat,0,2,-0.881818175315857,C,B,B
0,2.67000007629395,2.45000004768372,1,55.9972610473633,clerical/kindred,married,white0,lt-hs,15t24k,3.83333325386047,2.81818175315857,psyump,0,control,0,3,0.368181705474854,A,A,A
1,3,1.17999994754791,0,37.6438369750977,manegerial,married,white0,somcol,50k+,4,1.36363637447357,psyump,0,treat,1,3,0.183636426925659,B,B,A
0,3.32999992370605,1.73000001907349,1,39.7479438781738,sales workers,nevmarr,white0,highsc,15t24k,4,1.27272725105286,psyump,0,control,1,3,-0.45727276802063,A,A,A
0,2.67000007629395,1.83000004291534,0,51.265754699707,professionals,divrcd,white0,somcol,25t39k,3.66666674613953,1.45454549789429,psyump,0,control,0,3,-0.375454545021057,B,B,A
1,4,2.54999995231628,0,34.8876724243164,craftsmen/foremen/kindred,nevmarr,white0,somcol,25t39k,5,1.45454549789429,psyemp,0,treat,1,4,-1.095454454422,B,B,A
1,1.33000004291534,1,1,64.2246551513672,manegerial,married,white0,highsc,lt15k,4.5,1,psyump,0,treat,1,4,0,A,A,A
1,3.32999992370605,2.1800000667572,0,48.4438362121582,professionals,married,white0,gradwk,50k+,5,1.27272725105286,psyemp,1,treat,1,4,-0.907272815704346,C,B,B
0,4.32999992370605,2.91000008583069,0,25.2027397155762,operatives/kindred wrks,nevmarr,white0,highsc,lt15k,4.83333349227905,2.90909099578857,psyump,0,control,1,4,-0.000909090042114258,A,A,A
1,4.67000007629395,2.73000001907349,0,35.5671234130859,laborers/service wrks,divrcd,white0,highsc,25t39k,4.5,2.09090900421143,psyemp,1,treat,1,4,-0.639091014862061,A,A,A
0,1.66999995708466,1,1,36.830135345459,clerical/kindred,married,white0,somcol,50k+,3.83333325386047,1.36363637447357,psyump,0,control,0,3,0.363636374473572,B,B,A
0,4.67000007629395,2.64000010490418,1,27.0602741241455,clerical/kindred,nevmarr,white0,somcol,50k+,3.5,3.45454549789429,psyump,0,control,0,3,0.814545392990112,B,B,A
1,2,1.82000005245209,1,41.2273979187012,manegerial,married,white0,somcol,50k+,3.79999995231628,2.72727274894714,psyump,1,treat,0,3,0.907272696495056,B,B,A
0,2.67000007629395,1.36000001430511,1,42.6547927856445,clerical/kindred,married,white0,somcol,50k+,4.5,1.27272725105286,psyump,0,control,1,4,-0.0872727632522583,B,B,A
0,2,1.36000001430511,1,42.5369873046875,operatives/kindred wrks,divrcd,white0,highsc,15t24k,4.16666650772095,1,psyemp,0,control,1,3,-0.360000014305115,A,A,A
1,3.32999992370605,2.8199999332428,0,37.9945220947266,laborers/service wrks,nevmarr,white0,somcol,lt15k,4.5,1.72727274894714,psyump,1,treat,1,4,-1.09272718429565,B,B,A
0,4.67000007629395,1.54999995231628,1,54.7041091918945,clerical/kindred,widowed,white0,highsc,lt15k,4,3.63636374473572,psyump,0,control,1,3,2.08636379241943,A,A,A
0,4,1.54999995231628,1,44.5150680541992,clerical/kindred,married,non.white1,somcol,lt15k,4,1.36363637447357,psyump,0,control,1,3,-0.186363577842712,B,B,A
0,5,2.1800000667572,1,40.9397277832031,clerical/kindred,separtd,white0,somcol,lt15k,4.83333349227905,1.45454549789429,psyemp,0,control,1,4,-0.725454568862915,B,B,A
0,2.67000007629395,2.1800000667572,1,34.1178092956543,clerical/kindred,married,white0,bach,50k+,2.83333325386047,3,psyump,0,control,0,2,0.819999933242798,C,B,B
0,2.32999992370605,1.73000001907349,0,20.0191783905029,operatives/kindred wrks,nevmarr,white0,highsc,15t24k,2.5,3,psyemp,0,control,0,2,1.26999998092651,A,A,A
1,3,2,1,42.2739715576172,clerical/kindred,married,white0,highsc,25t39k,3.33333325386047,1.54545450210571,psyemp,0,treat,0,2,-0.454545497894287,A,A,A
1,3,1.63999998569489,0,36.9863014221191,manegerial,nevmarr,white0,bach,15t24k,4,1.27272725105286,psyemp,1,treat,1,3,-0.367272734642029,C,B,B
1,3.67000007629395,1,0,57.2849311828613,sales workers,married,white0,highsc,50k+,4.16666650772095,1,psyump,1,treat,1,3,0,A,A,A
1,3.67000007629395,2.45000004768372,0,39.879451751709,manegerial,separtd,white0,somcol,50k+,5,2.18181824684143,psyemp,1,treat,1,4,-0.268181800842285,B,B,A
1,2.67000007629395,2,0,23.4794521331787,manegerial,nevmarr,white0,highsc,15t24k,5,1.27272725105286,psyemp,1,treat,1,4,-0.727272748947144,A,A,A
1,3,2.1800000667572,1,50.9561653137207,sales workers,separtd,white0,lt-hs,lt15k,3.66666674613953,3,psyump,1,treat,0,3,0.819999933242798,A,A,A
0,3.67000007629395,2.08999991416931,0,43.120548248291,craftsmen/foremen/kindred,nevmarr,white0,somcol,25t39k,3.16666674613953,1.54545450210571,psyump,0,control,0,2,-0.544545412063599,B,B,A
0,2.67000007629395,1.36000001430511,0,37.7506866455078,manegerial,divrcd,white0,highsc,40t49k,3.83333325386047,2.27272725105286,psyump,0,control,0,3,0.912727236747742,A,A,A
1,3.32999992370605,1.36000001430511,0,43.046573638916,laborers/service wrks,nevmarr,non.white1,highsc,50k+,3.33333325386047,1,psyemp,1,treat,0,2,-0.360000014305115,A,A,A
1,2,1.54999995231628,0,39.3917808532715,operatives/kindred wrks,married,white0,highsc,lt15k,3.33333325386047,2.36363625526428,psyemp,0,treat,0,2,0.813636302947998,A,A,A
1,2,2.73000001907349,0,32.167121887207,operatives/kindred wrks,divrcd,white0,highsc,lt15k,3.16666674613953,1.18181812763214,psyump,1,treat,0,2,-1.54818189144135,A,A,A
0,3.32999992370605,1.9099999666214,1,25.356164932251,craftsmen/foremen/kindred,married,non.white1,somcol,lt15k,3.66666674613953,1.09090912342072,psyump,0,control,0,3,-0.819090843200684,B,B,A
1,2,2,1,53.1095886230469,professionals,married,white0,gradwk,50k+,4.66666650772095,1.63636362552643,psyump,1,treat,1,4,-0.363636374473572,C,B,B
0,3,2.08999991416931,0,41.7616424560547,professionals,married,white0,gradwk,50k+,3.5,1.45454549789429,psyump,0,control,0,3,-0.635454416275024,C,B,B
1,2.32999992370605,1.73000001907349,0,37.2767105102539,laborers/service wrks,married,white0,bach,50k+,2.83333325386047,1.63636362552643,psyump,1,treat,0,2,-0.0936363935470581,C,B,B
1,3.32999992370605,1.26999998092651,1,44.7671241760254,clerical/kindred,married,non.white1,somcol,15t24k,4,1.18181812763214,psyemp,1,treat,1,3,-0.0881818532943726,B,B,A
1,5,2.09999990463257,1,24.9780826568604,operatives/kindred wrks,nevmarr,non.white1,somcol,lt15k,2.66666674613953,2.45454549789429,psyump,0,treat,0,2,0.354545593261719,B,B,A
0,4.67000007629395,2,0,33.6958885192871,craftsmen/foremen/kindred,divrcd,white0,somcol,lt15k,4.16666650772095,1.27272725105286,psyemp,0,control,1,3,-0.727272748947144,B,B,A
0,2,1.36000001430511,1,52.1479454040527,clerical/kindred,married,white0,highsc,25t39k,3.66666674613953,2.18181824684143,psyump,0,control,0,3,0.821818232536316,A,A,A
1,2.67000007629395,1.9099999666214,1,40.9698638916016,craftsmen/foremen/kindred,nevmarr,white0,highsc,lt15k,5,2.63636374473572,psyemp,0,treat,1,4,0.726363778114319,A,A,A
1,2.32999992370605,1.0900000333786,0,32.2438354492188,sales workers,nevmarr,white0,bach,15t24k,5,1.27272725105286,psyump,1,treat,1,4,0.182727217674255,C,B,B
1,1,2,1,29.2794513702393,professionals,nevmarr,non.white1,gradwk,25t39k,2.5,1.81818187236786,psyump,1,treat,0,2,-0.181818127632141,C,B,B
1,3,2.26999998092651,1,33.4164390563965,professionals,nevmarr,white0,gradwk,15t24k,4.33333349227905,1.63636362552643,psyump,1,treat,1,3,-0.633636355400085,C,B,B
0,4,3,0,37.6520538330078,laborers/service wrks,married,non.white1,highsc,15t24k,4,2.90909099578857,psyump,0,control,1,3,-0.0909090042114258,A,A,A
1,2.32999992370605,1.45000004768372,1,20.6493148803711,clerical/kindred,nevmarr,non.white1,highsc,lt15k,5,2.18181824684143,psyump,0,treat,1,4,0.731818199157715,A,A,A
1,2.32999992370605,1.54999995231628,1,39.095890045166,laborers/service wrks,divrcd,non.white1,bach,15t24k,5,1,psyump,0,treat,1,4,-0.549999952316284,C,B,B
1,3,1.79999995231628,1,45.6465759277344,manegerial,divrcd,white0,bach,15t24k,4.5,1.27272725105286,psyump,1,treat,1,4,-0.527272701263428,C,B,B
0,2,1.73000001907349,0,21.668493270874,laborers/service wrks,nevmarr,white0,somcol,15t24k,3,2.09090900421143,psyump,0,control,0,2,0.360908985137939,B,B,A
1,3.67000007629395,2.54999995231628,1,31.6027393341065,professionals,nevmarr,white0,bach,25t39k,4.33333349227905,2.09090900421143,psyump,1,treat,1,3,-0.459090948104858,C,B,B
1,3.32999992370605,1.73000001907349,0,39.4273986816406,craftsmen/foremen/kindred,married,white0,highsc,25t39k,4.66666650772095,3.27272725105286,psyump,1,treat,1,4,1.54272723197937,A,A,A
1,3.32999992370605,2.1800000667572,1,47.2684936523438,clerical/kindred,divrcd,white0,highsc,15t24k,4.66666650772095,1,psyump,1,treat,1,4,-1.1800000667572,A,A,A
1,2.67000007629395,1.9099999666214,0,34.0191764831543,manegerial,divrcd,white0,gradwk,25t39k,4,1.27272725105286,psyump,0,treat,1,3,-0.637272715568543,C,B,B
1,3.67000007629395,1.54999995231628,0,37.9150695800781,professionals,divrcd,white0,highsc,25t39k,5,1,psyump,1,treat,1,4,-0.549999952316284,A,A,A
1,4,1.36000001430511,0,35.5369873046875,operatives/kindred wrks,married,white0,highsc,25t39k,3,2.18181824684143,psyump,1,treat,0,2,0.821818232536316,A,A,A
1,1.66999995708466,1.9099999666214,1,25.0931510925293,professionals,nevmarr,white0,gradwk,40t49k,5,1.81818187236786,psyemp,1,treat,1,4,-0.09181809425354,C,B,B
1,4.67000007629395,2.20000004768372,1,57.7698631286621,clerical/kindred,divrcd,white0,somcol,15t24k,5,1.29999995231628,psyump,1,treat,1,4,-0.900000095367432,B,B,A
1,4.32999992370605,1.45000004768372,1,42.8356170654297,clerical/kindred,married,non.white1,highsc,50k+,4.66666650772095,1.45454549789429,psyump,1,treat,1,4,0.00454545021057129,A,A,A
1,2.67000007629395,1.36000001430511,0,34.1643829345703,clerical/kindred,married,non.white1,somcol,15t24k,3.5,2.45454549789429,psyump,0,treat,0,3,1.09454548358917,B,B,A
0,2,1.17999994754791,0,35.8767127990723,professionals,married,white0,bach,50k+,4.33333349227905,1.45454549789429,psyemp,0,control,1,3,0.274545550346375,C,B,B
0,1.66999995708466,1.0900000333786,1,46.9835624694824,professionals,nevmarr,non.white1,somcol,lt15k,5,1,psyump,0,control,1,4,-0.0900000333786011,B,B,A
0,3.32999992370605,2.64000010490418,0,34.6356163024902,craftsmen/foremen/kindred,nevmarr,white0,highsc,15t24k,3.66666674613953,1.54545450210571,psyump,0,control,0,3,-1.09454560279846,A,A,A
0,3,1.26999998092651,0,63.4520530700684,professionals,married,white0,bach,50k+,3.83333325386047,1.27272725105286,psyump,0,control,0,3,0.00272727012634277,C,B,B
1,1.33000004291534,2,1,46.3287658691406,clerical/kindred,married,white0,highsc,40t49k,4.83333349227905,1,psyump,1,treat,1,4,-1,A,A,A
1,2.32999992370605,1.82000005245209,1,44.9205474853516,manegerial,married,white0,somcol,50k+,5,1.27272725105286,psyump,0,treat,1,4,-0.547272801399231,B,B,A
0,3.32999992370605,2,1,41.7041091918945,sales workers,married,white0,somcol,40t49k,4.66666650772095,1.45454549789429,psyump,0,control,1,4,-0.545454502105713,B,B,A
1,2,2.73000001907349,1,21.6958904266357,manegerial,married,white0,somcol,15t24k,4,1.63636362552643,psyump,0,treat,1,3,-1.09363639354706,B,B,A
1,2.32999992370605,1.26999998092651,1,37.9452056884766,clerical/kindred,nevmarr,white0,somcol,25t39k,4,1.36363637447357,psyump,1,treat,1,3,0.0936363935470581,B,B,A
0,1.33000004291534,1.17999994754791,1,34.7616424560547,operatives/kindred wrks,married,white0,lt-hs,50k+,4.16666650772095,1.36363637447357,psyump,0,control,1,3,0.183636426925659,A,A,A
0,3.32999992370605,1.39999997615814,0,33.9698638916016,sales workers,married,white0,somcol,25t39k,4.5,1.63636362552643,psyump,0,control,1,4,0.236363649368286,B,B,A
1,2,1.0900000333786,1,28.5890407562256,laborers/service wrks,nevmarr,non.white1,highsc,lt15k,3.16666674613953,1.18181812763214,psyump,0,treat,0,2,0.09181809425354,A,A,A
1,2.32999992370605,1.73000001907349,1,36.6273956298828,clerical/kindred,nevmarr,white0,somcol,15t24k,3.83333325386047,1.45454549789429,psyemp,1,treat,0,3,-0.275454521179199,B,B,A
1,3,1.36000001430511,0,33.5534248352051,operatives/kindred wrks,married,white0,lt-hs,25t39k,3.5,1.63636362552643,psyemp,0,treat,0,3,0.276363611221314,A,A,A
1,2.67000007629395,1,1,58.0383567810059,professionals,married,white0,somcol,25t39k,3.5,1,psyump,1,treat,0,3,0,B,B,A
1,4,2,1,31.6739730834961,manegerial,divrcd,white0,somcol,lt15k,4,2.18181824684143,psyemp,1,treat,1,3,0.181818246841431,B,B,A
0,2.32999992370605,1.0900000333786,1,49.8054809570313,manegerial,divrcd,white0,highsc,25t39k,3.33333325386047,1.54545450210571,psyump,0,control,0,2,0.455454468727112,A,A,A
1,2,1.26999998092651,1,59.4465751647949,manegerial,married,white0,highsc,50k+,4.33333349227905,1.09090912342072,psyump,1,treat,1,3,-0.179090857505798,A,A,A
0,5,1.26999998092651,0,53.7945213317871,sales workers,separtd,white0,bach,40t49k,5,1.36363637447357,psyump,0,control,1,4,0.0936363935470581,C,B,B
1,2.32999992370605,1.82000005245209,0,44.6438369750977,craftsmen/foremen/kindred,married,white0,highsc,25t39k,4.83333349227905,1.54545450210571,psyump,1,treat,1,4,-0.274545550346375,A,A,A
1,3,2.45000004768372,1,27.9287662506104,manegerial,nevmarr,white0,somcol,25t39k,5,1.63636362552643,psyump,0,treat,1,4,-0.813636422157288,B,B,A
0,2.67000007629395,2.77999997138977,0,26.2821922302246,clerical/kindred,nevmarr,white0,highsc,25t39k,3.16666674613953,1.54545450210571,psyump,0,control,0,2,-1.23454546928406,A,A,A
1,2.32999992370605,1.26999998092651,0,31.4821910858154,laborers/service wrks,nevmarr,white0,highsc,15t24k,4,1,psyump,1,treat,1,3,-0.269999980926514,A,A,A
1,1.66999995708466,1.0900000333786,1,20.4027404785156,clerical/kindred,nevmarr,non.white1,somcol,50k+,4.5,1.18181812763214,psyemp,0,treat,1,4,0.09181809425354,B,B,A
1,2,1.9099999666214,0,22.4739723205566,operatives/kindred wrks,nevmarr,white0,lt-hs,25t39k,4,1,psyemp,0,treat,1,3,-0.909999966621399,A,A,A
1,2,2.08999991416931,0,21.8109588623047,laborers/service wrks,nevmarr,white0,somcol,lt15k,4.16666650772095,1,psyemp,0,treat,1,3,-1.08999991416931,B,B,A
0,4.67000007629395,2.54999995231628,1,31.9068489074707,clerical/kindred,separtd,non.white1,highsc,lt15k,3.5,1.90909087657928,psyump,0,control,0,3,-0.640909075737,A,A,A
1,4.32999992370605,1.36000001430511,0,26.1808223724365,craftsmen/foremen/kindred,nevmarr,white0,lt-hs,15t24k,4.16666650772095,1.27272725105286,psyemp,1,treat,1,3,-0.0872727632522583,A,A,A
1,2.32999992370605,1.45000004768372,1,23.6986293792725,clerical/kindred,nevmarr,white0,somcol,lt15k,4.16666650772095,2.18181824684143,psyump,1,treat,1,3,0.731818199157715,B,B,A
1,2.67000007629395,1,0,56.854793548584,manegerial,married,white0,bach,40t49k,5,1,psyump,1,treat,1,4,0,C,B,B
1,3,2.35999989509583,1,27.2876720428467,clerical/kindred,nevmarr,white0,highsc,lt15k,3.5,1.45454549789429,psyump,1,treat,0,3,-0.905454397201538,A,A,A
1,4.67000007629395,2,1,27.5808219909668,laborers/service wrks,married,white0,highsc,lt15k,4.16666650772095,2.72727274894714,psyump,0,treat,1,3,0.727272748947144,A,A,A
0,3,1.54999995231628,0,64.3808212280274,professionals,married,white0,somcol,25t39k,4.16666650772095,1.90909087657928,psyump,0,control,1,3,0.359090924263001,B,B,A
1,4.32999992370605,2.64000010490418,1,25.6767120361328,sales workers,nevmarr,white0,highsc,15t24k,3.66666674613953,1.45454549789429,psyemp,0,treat,0,3,-1.18545460700989,A,A,A
1,3.32999992370605,3,1,20.0630130767822,clerical/kindred,nevmarr,white0,lt-hs,lt15k,1.83333337306976,2.54545450210571,psyump,0,treat,0,1,-0.454545497894287,A,A,A
1,4,1.63999998569489,0,43.120548248291,manegerial,nevmarr,white0,gradwk,25t39k,3,2.09090900421143,psyemp,1,treat,0,2,0.450909018516541,C,B,B
1,1.66999995708466,1.0900000333786,0,29.8273963928223,craftsmen/foremen/kindred,married,white0,somcol,15t24k,5,1,psyemp,1,treat,1,4,-0.0900000333786011,B,B,A
0,1.33000004291534,1.36000001430511,0,67.5041122436524,craftsmen/foremen/kindred,married,white0,highsc,25t39k,4.33333349227905,1.72727274894714,psyump,0,control,1,3,0.367272734642029,A,A,A
1,4.32999992370605,1.73000001907349,1,37.7917823791504,professionals,divrcd,white0,somcol,15t24k,4,1.27272725105286,psyump,1,treat,1,3,-0.45727276802063,B,B,A
1,2.32999992370605,1.0900000333786,0,27.0383567810059,professionals,nevmarr,white0,somcol,15t24k,3.83333325386047,1.90909087657928,psyemp,1,treat,0,3,0.819090843200684,B,B,A
1,4.32999992370605,2.08999991416931,0,48.4137001037598,laborers/service wrks,separtd,non.white1,highsc,lt15k,3.66666674613953,1.27272725105286,psyump,0,treat,0,3,-0.817272663116455,A,A,A
1,3.32999992370605,1.9099999666214,0,31.1178073883057,manegerial,married,white0,highsc,25t39k,3.83333325386047,1.72727274894714,psyemp,1,treat,0,3,-0.182727217674255,A,A,A
1,3,1.36000001430511,0,45.4410972595215,craftsmen/foremen/kindred,divrcd,white0,somcol,lt15k,3.83333325386047,1.09090912342072,psyump,0,treat,0,3,-0.269090890884399,B,B,A
1,3.67000007629395,2.08999991416931,1,30.3945198059082,manegerial,nevmarr,white0,gradwk,40t49k,4.66666650772095,1.36363637447357,psyemp,1,treat,1,4,-0.72636353969574,C,B,B
0,3.67000007629395,1.54999995231628,0,50.0630149841309,craftsmen/foremen/kindred,married,white0,highsc,25t39k,4.33333349227905,1.09090912342072,psyump,0,control,1,3,-0.459090828895569,A,A,A
0,3.67000007629395,2.90000009536743,0,28.8301372528076,craftsmen/foremen/kindred,married,white0,highsc,25t39k,3.16666674613953,3,psyump,0,control,0,2,0.0999999046325684,A,A,A
1,4.67000007629395,2.8199999332428,1,35.0027389526367,professionals,divrcd,white0,bach,25t39k,4.66666650772095,1.72727274894714,psyemp,1,treat,1,4,-1.09272718429565,C,B,B
1,4.32999992370605,2.54999995231628,1,38.7561645507813,clerical/kindred,nevmarr,white0,somcol,lt15k,4,3.09090900421143,psyump,1,treat,1,3,0.540909051895142,B,B,A
0,4,1.54999995231628,0,40.0136985778809,professionals,married,white0,highsc,25t39k,4.66666650772095,1.90909087657928,psyemp,0,control,1,4,0.359090924263001,A,A,A
0,4.67000007629395,1.20000004768372,1,25.1287670135498,clerical/kindred,separtd,non.white1,somcol,lt15k,4.33333349227905,1.45454549789429,psyump,0,control,1,3,0.254545450210571,B,B,A
0,2.67000007629395,1.26999998092651,0,52.3726043701172,laborers/service wrks,divrcd,white0,highsc,lt15k,4.66666650772095,1,psyemp,0,control,1,4,-0.269999980926514,A,A,A
1,4,2.73000001907349,1,34.8657531738281,professionals,married,white0,somcol,40t49k,4.66666650772095,1.81818187236786,psyemp,1,treat,1,4,-0.911818146705627,B,B,A
1,2,1.54999995231628,0,28.0876712799072,manegerial,nevmarr,white0,somcol,15t24k,3.33333325386047,2,psyump,0,treat,0,2,0.450000047683716,B,B,A
1,3.67000007629395,2.54999995231628,0,44.4931488037109,operatives/kindred wrks,divrcd,non.white1,lt-hs,25t39k,3.33333325386047,3.45454549789429,psyump,1,treat,0,2,0.904545545578003,A,A,A
1,2.32999992370605,2.26999998092651,1,59.3342475891113,clerical/kindred,married,white0,highsc,lt15k,3.5,1.60000002384186,psyump,1,treat,0,3,-0.669999957084656,A,A,A
1,1.33000004291534,2.59999990463257,1,51.0328750610352,manegerial,married,white0,highsc,50k+,3.16666674613953,2.18181824684143,psyump,1,treat,0,2,-0.418181657791138,A,A,A
0,3,2.45000004768372,1,34.2191772460938,manegerial,divrcd,white0,bach,15t24k,5,1.27272725105286,psyemp,0,control,1,4,-1.17727279663086,C,B,B
1,3.32999992370605,1.63999998569489,1,60.3753433227539,clerical/kindred,divrcd,white0,bach,15t24k,4,1.5,psyemp,0,treat,1,3,-0.139999985694885,C,B,B
1,3,1,0,46.0164375305176,craftsmen/foremen/kindred,married,white0,highsc,25t39k,3,1.36363637447357,psyump,0,treat,0,2,0.363636374473572,A,A,A
1,1,1,1,58.7506866455078,clerical/kindred,divrcd,white0,somcol,50k+,4.66666650772095,1,psyump,0,treat,1,4,0,B,B,A
0,3.67000007629395,2.26999998092651,1,23.7068500518799,professionals,married,white0,bach,40t49k,4.66666650772095,1.18181812763214,psyemp,0,control,1,4,-1.08818185329437,C,B,B
1,3.32999992370605,1.9099999666214,1,44.2054786682129,operatives/kindred wrks,divrcd,non.white1,highsc,lt15k,4,1.54545450210571,psyump,1,treat,1,3,-0.364545464515686,A,A,A
1,4.32999992370605,2.45000004768372,1,32.7780838012695,clerical/kindred,nevmarr,white0,somcol,lt15k,4.5,3.90909099578857,psyump,0,treat,1,4,1.45909094810486,B,B,A
1,3.67000007629395,2.45000004768372,1,56.3835601806641,laborers/service wrks,divrcd,non.white1,highsc,lt15k,3,1.27272725105286,psyump,1,treat,0,2,-1.17727279663086,A,A,A
1,5,2.54999995231628,1,51.5671234130859,clerical/kindred,married,non.white1,somcol,15t24k,3.16666674613953,2.54545450210571,psyump,0,treat,0,2,-0.00454545021057129,B,B,A
0,2.32999992370605,2.1800000667572,1,43.8027381896973,clerical/kindred,married,white0,highsc,40t49k,4.5,2.72727274894714,psyump,0,control,1,4,0.547272682189941,A,A,A
0,1.66999995708466,1.26999998092651,1,45.4164390563965,clerical/kindred,married,non.white1,highsc,15t24k,3.33333325386047,1,psyump,0,control,0,2,-0.269999980926514,A,A,A
1,1.33000004291534,2.64000010490418,1,35.9726028442383,manegerial,married,white0,gradwk,50k+,5,1.09090912342072,psyump,1,treat,1,4,-1.54909098148346,C,B,B
0,3.67000007629395,1.26999998092651,0,36.2821922302246,craftsmen/foremen/kindred,married,white0,somcol,40t49k,3.83333325386047,2.5,psyemp,0,control,0,3,1.23000001907349,B,B,A
